GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037125502,Census Tract 1255.02; Los Angeles County; California,2235,217,111,280,0,428,425
1400000U,6037125600,Census Tract 1256; Los Angeles County; California,1764,247,0,265,0,340,374
1400000U,6037127102,Census Tract 1271.02; Los Angeles County; California,1586,417,0,223,0,1523,1543
1400000U,6037127103,Census Tract 1271.03; Los Angeles County; California,923,360,38,373,0,922,738
1400000U,6037127104,Census Tract 1271.04; Los Angeles County; California,2280,132,0,257,0,915,743
1400000U,6037127210,Census Tract 1272.10; Los Angeles County; California,1865,303,54,736,0,1671,805
1400000U,6037127220,Census Tract 1272.20; Los Angeles County; California,1075,99,36,589,0,1836,1115
1400000U,6037127300,Census Tract 1273; Los Angeles County; California,1372,302,51,450,0,911,1215
1400000U,6037127400,Census Tract 1274; Los Angeles County; California,1458,124,62,221,0,2598,1175
1400000U,6037127520,Census Tract 1275.20; Los Angeles County; California,960,205,79,239,0,2942,443
1400000U,6037127603,Census Tract 1276.03; Los Angeles County; California,688,155,37,199,0,1017,777
1400000U,6037127604,Census Tract 1276.04; Los Angeles County; California,1245,296,31,202,0,811,566
1400000U,6037127605,Census Tract 1276.05; Los Angeles County; California,923,216,42,15,0,1824,662
1400000U,6037127606,Census Tract 1276.06; Los Angeles County; California,877,113,0,405,0,1304,519
1400000U,6037127711,Census Tract 1277.11; Los Angeles County; California,1394,160,0,288,0,829,560
1400000U,6037127712,Census Tract 1277.12; Los Angeles County; California,1353,309,0,270,0,518,1597
1400000U,6037127803,Census Tract 1278.03; Los Angeles County; California,1484,238,91,767,0,1634,788
1400000U,6037127804,Census Tract 1278.04; Los Angeles County; California,1137,185,83,523,282,1371,852
1400000U,6037127805,Census Tract 1278.05; Los Angeles County; California,965,178,0,83,0,1401,887
1400000U,6037127806,Census Tract 1278.06; Los Angeles County; California,1086,187,0,334,0,1204,918
1400000U,6037127910,Census Tract 1279.10; Los Angeles County; California,1017,226,149,378,10,2279,1013
1400000U,6037127920,Census Tract 1279.20; Los Angeles County; California,2414,55,11,196,0,1192,517
1400000U,6037128101,Census Tract 1281.01; Los Angeles County; California,1287,297,8,139,0,597,495
1400000U,6037128102,Census Tract 1281.02; Los Angeles County; California,1654,234,27,405,0,1621,951
1400000U,6037128210,Census Tract 1282.10; Los Angeles County; California,1169,185,180,234,0,1551,1681
1400000U,6037128220,Census Tract 1282.20; Los Angeles County; California,1419,244,0,145,0,657,527
1400000U,6037128302,Census Tract 1283.02; Los Angeles County; California,1316,297,25,405,0,1135,1381
1400000U,6037128303,Census Tract 1283.03; Los Angeles County; California,816,176,0,55,0,976,1409
1400000U,6037128400,Census Tract 1284; Los Angeles County; California,2268,428,20,326,10,395,827
1400000U,6037128500,Census Tract 1285; Los Angeles County; California,2686,145,14,299,0,726,531
1400000U,6037128601,Census Tract 1286.01; Los Angeles County; California,1793,389,192,136,25,608,1699
1400000U,6037128602,Census Tract 1286.02; Los Angeles County; California,1689,141,1,145,0,236,475
1400000U,6037128703,Census Tract 1287.03; Los Angeles County; California,2195,575,19,159,0,99,529
